Major,mean_score_std,std_score_std,female_ratio,mean_scholarship_type,priority_ratio,mean_lang_score,region_entropy,admission_entropy,hs_type_entropy,CreditsRequired,CourseRequired,FirstYearCreditsLoad,MathIntensive,IsSTEM
Accounting,-0.2659264493398977,0.7616847716351244,0.8867924528301887,0.09433962264150944,0.32075471698113206,0.5754716981132075,0.9783965635373875,1.3692194537800986,0.5095157180881823,139,49,35,0,0
Business Administration,0.0415068745597633,1.0431628208582036,0.7406749555950266,0.10124333925399645,0.11900532859680284,1.4422735346358793,1.3053770817601291,1.8086181869854447,0.5682907359121085,139,49,40,0,0
Finance and Banking,-0.00614997010671097,0.610591652853597,0.7193877551020408,0.061224489795918366,0.2602040816326531,0.6683673469387755,1.3622838085534041,1.0401538574932985,0.5519640329357495,139,49,37,0,0
Biomedical Engineering,0.10428173631912566,1.0292921209438304,0.5108695652173914,0.25,0.14130434782608695,1.7173913043478262,1.4200202868452412,1.7132926626504092,0.8112781244591328,151,56,30,1,1
Chemistry,-0.5590891754704302,1.1039770262948136,0.8076923076923077,0.19230769230769232,0.038461538461538464,0.9615384615384616,0.46816664055233254,1.4603721872403523,0.6193821946787638,150,66,42,0,1
Biotechnology,-0.3382593844087291,1.0726704497919204,0.7105263157894737,0.30701754385964913,0.16666666666666666,1.2324561403508771,1.0273887540132927,1.477842790684505,0.7522759607993071,137,42,40,0,1
Chemical Engineering,-0.39063360306783373,1.0875200740964763,0.64,0.2,0.12,0.8,0.7943095546405661,1.0350402793845224,0.7641140545540274,151,56,35,1,1
Food Technology,-0.5054225881154064,0.8645135014267127,0.8085106382978723,0.06382978723404255,0.19148936170212766,0.5212765957446809,0.9239407338062623,1.5259572909186336,0.6071716548713029,150,63,44,1,1
Civil Engineering,-1.0394689965385153,0.7021540241228237,0.08333333333333333,0.08333333333333333,0.08333333333333333,1.3333333333333333,1.6140054628542204,1.5510981710072649,0.4138168503036338,158,64,46,1,1
Civil Management,-0.7760046021682185,0.6971884518850417,0.0,0.0,0.0,0.0,0.0,0.8112781244591328,0.0,156,59,46,1,0
Automation and Control Engineering,-0.8052293866219351,1.029805708077089,0.038461538461538464,0.15384615384615385,0.11538461538461539,0.4423076923076923,1.4768421209055118,0.6988272185521961,0.0,152,49,34,1,1
Electrical Engineering,-0.35494819709299946,1.3405521274358494,0.10526315789473684,0.42105263157894735,0.21052631578947367,2.1052631578947367,1.5737888130660207,1.5055213905049438,0.2974722489192897,152,48,35,1,1
English Linguistics and Literature,-0.007637518303315348,1.378313059382083,0.8285714285714286,0.11428571428571428,0.047619047619047616,2.1809523809523808,1.1668119573098081,2.068735563522165,0.7218561920089126,136,52,38,0,0
Environmental Engineering,-0.33334649384791454,0.6334439765293405,0.8333333333333334,0.5,0.0,2.3333333333333335,0.9182958340544894,1.459147917027245,0.9182958340544894,150,42,46,0,1
Industrial and Systems Engineering,-0.5874962426414866,0.9458833613614791,0.3880597014925373,0.22388059701492538,0.19402985074626866,1.1865671641791045,0.9508406734495223,1.0336966968250263,0.49318444320743104,152,55,40,1,1
Logistics and Supply Chain Management,0.6987293062838582,0.5537222570167672,0.6772908366533864,0.04780876494023904,0.22709163346613545,1.7430278884462151,1.5032147488162784,1.664953427398242,0.7040479713881973,152,55,42,1,0
Computer Science,0.4252471094435255,0.5992085606584201,0.15151515151515152,0.09090909090909091,0.0,3.590909090909091,1.568538834381555,1.9847611826697247,1.0270835132283895,149,48,38,1,1
Data Science,0.05265440345585118,0.8131385760159904,0.28888888888888886,0.1111111111111111,0.13333333333333333,1.1222222222222222,1.4339433670493877,1.3234067491742718,0.6235702082127974,142,43,37,1,1
Information Technology,-0.14741985880373326,0.8630648385479996,0.17333333333333334,0.09333333333333334,0.26,1.1966666666666668,1.4729558460584653,1.1793192999720066,0.564041654766953,150,57,48,1,1
Applied Mathematics,-0.4413662214487364,0.9509943621676935,0.631578947368421,0.23684210526315788,0.13157894736842105,0.6578947368421053,1.1559368506327254,1.0159180833727335,0.5617526078313283,143,45,42,1,1
Space Engineering,0.11376348750547392,1.1633787470750794,0.23076923076923078,0.5384615384615384,0.07692307692307693,2.0,0.7732283485249177,1.6691803368667308,0.8904916402194913,152,57,36,1,1
